acl	2.3.1-3
adduser	3.134
adwaita-icon-theme	43-1
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.8-1
apparmor	3.0.8-3
apt	2.6.1
apt-listchanges	3.24
apt-transport-https	2.6.1
apt-utils	2.6.1
at-spi2-common	2.46.0-5
at-spi2-core	2.46.0-5
avahi-daemon	0.8-10+deb12u1
avahi-utils	0.8-10+deb12u1
base-files	12.4+deb12u13
base-passwd	3.6.1
bash	5.2.15-2+b10
bash-completion	1:2.11-6
bind9-host	1:9.18.47-1~deb12u1
bind9-libs:amd64	1:9.18.47-1~deb12u1
binutils	2.40-2
binutils-common:amd64	2.40-2
binutils-x86-64-linux-gnu	2.40-2
bsd-mailx	8.1.2-0.20220412cvs-1
bsdextrautils	2.38.1-5+deb12u3
bsdutils	1:2.38.1-5+deb12u3
build-essential	12.9
bzip2	1.0.8-5+b1
ca-certificates	20230311+deb12u1
chrome-remote-desktop	147.0.7727.3
chromium	146.0.7680.164-1~deb12u1
chromium-common	146.0.7680.164-1~deb12u1
chromium-sandbox	146.0.7680.164-1~deb12u1
cmake	3.25.1-1
cmake-data	3.25.1-1
colord	1.4.6-2.2
colord-data	1.4.6-2.2
containerd.io	2.2.2-1~debian.12~bookworm
coreutils	9.1-1
cpio	2.13+dfsg-7.1
cpp	4:12.2.0-3
cpp-12	12.2.0-14+deb12u1
cron	3.0pl1-162
cron-daemon-common	3.0pl1-162
cups-pk-helper	0.2.6-1+b1
curl	7.88.1-10+deb12u14
dash	0.5.12-2
dbus	1.14.10-1~deb12u1
dbus-bin	1.14.10-1~deb12u1
dbus-daemon	1.14.10-1~deb12u1
dbus-session-bus-common	1.14.10-1~deb12u1
dbus-system-bus-common	1.14.10-1~deb12u1
dbus-user-session	1.14.10-1~deb12u1
dbus-x11	1.14.10-1~deb12u1
dconf-gsettings-backend:amd64	0.40.0-4
dconf-service	0.40.0-4
debconf	1.5.82
debian-archive-keyring	2023.3+deb12u2
debianutils	5.7-0.5~deb12u1
desktop-base	12.0.6+nmu1~deb12u1
desktop-file-utils	0.26-1
dictionaries-common	1.29.5
diffutils	1:3.8-4
dirmngr	2.2.40-1.1+deb12u2
distro-info-data	0.58+deb12u6
dmidecode	3.4-1
dmsetup	2:1.02.185-2
docker-buildx-plugin	0.31.1-1~debian.12~bookworm
